text,label
"직원들이 대화를 거의 하지 않는다는 것을 알고 있지만, 인터넷에서 싸게 구매할 수 있는 것을 알면서도 나만의 의견을 묻고 싶어서 가보려고 했어요. 하지만 직원들은 걸어서 대화하거나 아무 대답이 없는 경우가 많아서 결국 인터넷에서 찾아보고 구매하려고 생각했어요. 가지 않는 것이 좋아요. 감정적으로 상처를 받고 시간만 낭비하게 될 것 같아요.",0
직원들 진짜 싸가지 없어요 ㅋㅋㅋㅋ 가지 마숑 인터넷이 더 싼거 알면서도 이것저것 좀 물어보려는데 돈 되는거 사는거 물어보는 질문아니면. 직원이 아예 걸어가면서 말하거나... (고객은 뒤에 따라가면서 들음) or 모르쇠로 일관 (무성의 말투로 ..) 그냥 인터넷에서 물어보고 인터넷으로 구매해야겠습니당. 가지마세요. 감정상하고 시간 아까움. 리뷰: 직원들 진짜 싸가지 없어요 ㅋㅋㅋㅋ 가지 마숑 인터넷으로 물어보고 구매하는게 훨씬 효율적인 것 같아요. 직원들이 무관심하게 대응하거나 무성의한 태도를 보여줘서 실망했어요. 시간과 감정을 아끼려면 인터넷에서 바로 구매하는 것이 좋을 것 같아요.,1
"직원들 정말 불친절하네요 ㅋㅋㅋㅋ 인터넷에서 더 싸게 구입할 수 있다는 걸 알면서도 여러 가지를 물어보려고 했는데, 돈을 벌 수 있는 질문이 아니면 직원은 걸어가며 말하던지, 모르는 척하더라고요. (고객은 뒤를 따라가며 듣고 있음) 그냥 인터넷에서 문의하고 구매하면 되겠네요. 가지 마세요. 감정이 상하고 시간만 아까워요.",0
"직원들의 태도가 정말 별로였어요 ㅋㅋㅋㅋ 가볼만한 가게라는 소문을 듣고 인터넷으로 더 싼 가격을 알고 있었는데, 여러 가지 질문을 하려고 했는데도 돈을 벌어야하는 질문이 아니면 직원들은 관심을 가지지 않았어요. 직원이 걸어가면서 말하거나... (고객은 직원 뒤를 따라가며 듣음) 또는 전혀 알지 못하는척 일관했어요 (무성의한 어조로...) 그냥 인터넷에서 질문하고 인터넷으로 구매해야겠어요. 가지마세요. 감정적으로 피해를 입히고 시간을 낭비할 뿐입니다. 진심으로 실망했어요.",0
"분위기가 최고였어요! 3층 창문이 넓어서 공기가 통하는 느낌이 들었어요. 조명도 멋지고 음료와 디저트 종류도 다양해서 정말 선택이 어려웠어요. 아메리카노, 카페모카, 초코파이를 시켜서 함께 먹었는데 초코파이는 진한 초콜릿 맛이 느껴지고 너무 맛있었어요.",0
"분위기가 너무 좋아요! 3층 창문이 넓어서 상쾌한 느낌이에요. 조명도 아름답고 음료와 디저트 종류가 다양해서 친구와 선택하기가 힘들었어요 ㅋㅋㅋ 아메리카노, 카페모카, 그리고 초코케이크를 시켜서 함께 먹었는데 초코케이크는 진한 맛과 고소함이 일품이었어요.",0
"분위기가 최고였어요! 2층 창문이 크게 열려있어서 상쾌한 느낌이었어요ㅎㅎ 조명도 아름답고 음료와 디저트 종류가 많아서 친구와 선택하기가 어려웠어요ㅜㅋㅋㅋ 라떼, 아인슈페너 그리고 타르트를 시켜서 함께 먹었는데 딸기타르트는 상큼하고 정말 맛있었어요!",1
"분위기가 너무 좋아요! 2층 창문이 크고 넓어서 탁 트여있는 느낌이에요. 조명도 예뻐서 메뉴를 고르는 것이 힘들었어요. 아메리카노, 크로와상, 초콜릿 케이크를 시켜서 나눠 먹었는데 초콜릿 케이크는 진하고 부드러워서 맛있었어요.",0
"일단, 장사가 잘 되길 바라는 마음에서 별 다섯 개 드립니다. 간도 딱 맞았고, 저는 매운 음식을 좋아하니까 싱겁지도 않았어요. 다만, 당면사리와 라면사리가 함께 들어가는데, 면사리 양이 좀 많아서 국물이 금방 쫄고, 면도 금방 부글부글 끓어나오더라구요. 그래서 면을 한 가지만 사용하시는 건 어떨까요? 당면 면은 필요한 고객들에 한해서 주문을 받는 게 더 좋을 것 같아요. 번창하세요! 리뷰: 일단, 장사가 잘 되길 바라는 마음에서 별 다섯 개 드립니다. 간도 딱 맞았고, 저는 매운 음식을 좋아하니까 싱겁지도 않았어요. 다만, 당면사리와 라면사리가 함께 들어가는데, 면사리 양이 좀 많아서 국물이 금방 쫄고, 면도 금방 부글부글 끓어나오더라구요. 그래서 면을 한 가지만 사용하시는 건 어떨까요? 당면 면은 필요한 고객들에 한해서 주문을 받는 게 더 좋을 것 같아요. 번창하세요!",0
일단 장사가 잘되길 바라는 마음에서 별5개 드립니다. 간도 맞았고 매운걸 좋아하는 입장에서 싱겁지도 짜지도 않아서 딱 좋았어요. 다만 당면사리와 라면사리가 같이 들어가는데 면사리 양 자체가 좀 많아서 국물이금방 쫄고 면도 금방 불더라구요. 그래서 면을 한가지만 사용하시는건 어떨까 싶네요. 당면 면은 필요한 고객들에 한해서 주문을 넣도록 하는게 더 좋을거같아요. 번창하세요!,1
"일단 저는 이 가게에서 별 다섯 개를 주고 싶어요. 맛도 딱 맞았고, 저는 달콤한 음식을 좋아해서 단 맛도 정확했습니다. 다만, 딸기와 바나나가 함께 들어가는데 바나나의 양이 많아서 딸기맛이 잘 느껴지지 않아요. 그래서 바나나를 조금 더 줄이시는 건 어떨까요? 딸기를 좋아하는 고객들에게 더 좋은 선택이 될 것 같아요. 번창하세요!",0
"먼저, 칭찬과 응원의 의미로 별 다섯 개를 주고 싶습니다. 간도 딱 맞고, 저는 매운 음식을 좋아해서 싱겁지도 않고 짜지도 않아서 좋았어요. 그런데, 당면사리와 라면사리가 함께 들어가는데 면사리의 양이 조금 많아서 국물이 빨리 쫄았고 면도 빨리 불렀어요. 그래서 면을 한 가지만 사용하시는 건 어떨까 싶네요. 당면 면은 필요한 고객들에 한해서 주문을 받는 게 더 좋을 것 같아요. 번창하시길 바랄게요! 리뷰: 먼저, 칭찬과 응원의 의미로 별 다섯 개를 주고 싶습니다. 간도 딱 맞고, 저는 매운 음식을 좋아해서 싱겁지도 않고 짜지도 않아서 좋았어요. 그런데, 당면사리와 라면사리가 함께 들어가는데 면사리의 양이 조금 많아서 국물이 빨리 쫄았고 면도 빨리 불렀어요. 그래서 면을 한 가지만 사용하시는 건 어떨까 싶네요. 당면 면은 필요한 고객들에 한해서 주문을 받는 게 더 좋을 것 같아요. 번창하시길 바랄게요!",0
"1편의 독특함 때문에 살짝 뒤로 밀린 느낌이 있지만, 여전히 재미있어요. 게임 시스템이 많이 발전해 플레이하기 편리해졌습니다. 리틀시스터의 변화도 매력적이고, 설정이 확장되어 탐험하는 재미도 상당히 좋습니다. 더 좋은 리뷰를 작성해보세요.",0
"1편의 신선함에 비해 조금 빛이 바래 보이지만, 여전히 재미있게 즐길 수 있어요. 게임 시스템이 더욱 향상되어 플레이하기 편리해진 것도 매력 포인트입니다. 또한, 원래는 무서운 모습이었던 리틀 시스터가 2편에서는 귀여워진 것이 눈에 띄네요. 설정적인 부분이 확장되어 게임을 하면서 관광하는 기분도 들어서 즐거웠습니다. 리뷰: [생성된 문장]",0
"이 게임은 1편과 비교하기 어려울 정도로 독특한 매력을 지니고 있지만, 여전히 흥미로움을 잃지 않았습니다. 게임 플레이가 크게 개선되어 훨씬 더 편리하게 즐길 수 있었습니다. 특히 1편의 캐릭터가 매력적으로 변화한 것은 눈에 띄었습니다. 또한, 설정의 확장으로 인해 볼거리도 매우 만족스러웠습니다.",0
1편의 설정이 더 늘어나서 관광하는 재미도 꽤 좋습니다. 시스템도 훨씬 발전해서 게임 하기도 편리해졌고요. 1편의 두꺼비같은 리틀시스터가 2편와서 이뻐진건 좀 보기 좋네요. 1편이 워낙 참신했던 탓에 좀 묻힌 감이 있긴 하지만 재미는 여전합니다.,1
"빵점 주고 싶은걸 간신히 참았다...이런건 사상 유래가 없는,조지 루카스 영감의 스페이스 오페라-별들의전쟁에 비하면,애들 장난만도 못한거다.그나마 피터 정 감독의 다크 퓨리때문에 꾹 참고,평점2점정도 ,적선한 셈치고,선사한 거지...속편은,신경좀 써라",1
빵점을 주고 싶지만 참아냈습니다... 이 영화는 사상 유래가 없는 것 같아요. 마이클 베이의 트랜스포머 시리즈에 비하면 애들 장난 아닌 거라고 생각합니다. 다행히도 크리스토퍼 놀란 감독의 인셉션이 있어서 꾹 참고 2점 정도로 평가했습니다. 그래도 어느 정도 매력을 가진 영화라고 생각합니다. 속편에서는 좀 더 신경을 쓰실 필요가 있습니다.,0
"이 영화는 기대했던 것만큼의 역사적인 작품이 아니었어요. 피터 정 감독의 다크 퓨리 때문에 참았는데, 평점 2점밖에 안주고 싶어요. 실망했던 수준이었어요. 속편을 만들 때는 개연성에 좀 더 신경을 써주셨으면 좋겠어요.",0
"빵점을 주고 싶었는데 참았어요... 이런 영화는 전례가 없는데, 조지 루카스의 스타워즈와 비교하면 어린이 장난이라고 할 수 있어요. 그래도 피터 정 감독의 다크 퓨리로 인해 겨우 참아내서 2점 정도 평가하고, 그나마 신경 쓴 작품이었다고 해야 하네요. 속편은 좀 더 신경을 써야 할 것 같아요. 그러나, 빵점을 주고 싶었는데 참았어요... 이런 영화는 전례가 없는데, 조지 루카스의 스타워즈와 비교하면 어린이 장난이라고 할 수 있어요. 그래도 피터 정 감독의 다크 퓨리로 인해 겨우 참아내서 2점 정도 평가하고, 그나마 신경 쓴 작품이었다고 해야 하네요. 속편은 좀 더 신경을 써야 할 것 같아요.",0
치킨 반마리 주문 가능한데 골뱅이소면이랑 같이 먹으니까 정말 추천해요. 치킨은 조금 작고 살이 적은 편이지만 사이드메뉴를 함께 시키면 맛이 더욱 살아나요.,0
"두 명이서 치킨 반마리를 주문했는데, 골뱅이 소면이랑 같이 시킬 수 있어서 좋았어요! 치킨은 평범한 맛이었지만 골뱅이 소면과 함께 먹으니까 더욱 맛있었어요. 사이드메뉴를 함께 시키는 것이 좋은 선택이었어요. 치킨 크기는 작고, 살도 많이 없었지만 전체적으로 맛있는 경험이었습니다.",1
"두 사람이서 반마리의 치킨을 주문할 수 있어서, 닭갈비소스를 발라서 함께 주문했습니다. 치킨 자체는 평범하지만, 닭갈비 소스와 함께 먹으니 맛이 새롭게 느껴졌어요. 치킨만 보다는 소스와 함께 먹는 게 더 나을 거 같아요. 단지 치킨 양은 적고 조금 더 살이 있었으면 좋겠다는 아쉬움이 있습니다.",0
"두 사람이서 피자 반마리 주문이 가능해서 감자튀김과 함께 먹을 수 있었습니다. 피자의 맛은 평균적이었지만, 감자튀김과 함께 먹으니 맛이 돋보였습니다. 피자만 주문하는 것보다는 사이드 메뉴를 같이 주문하는 것을 추천드립니다. 그리고 피자 크기와 토핑의 양이 조금 아쉬웠습니다.",0
진짜 일하시는 사람들 너무 시끄러워요. 자기들 개인사얘기하는데 목소리도 크고 밥이 코로 들어가는지 입으로 들어가는지 모르고 나옵니다. 그리고 냉면에 참기름을 얼마나 넣었는지 냉면 국물에 기름이 엄청 둥둥 뜨고 느끼했습니다. 또한 김밥을 덮어두지도 않고 싸논 것 그대로 줍니다. 본인들끼리 떠들면서 손님 주문하는 것도 못듣고 또 물어봐야 합니다. 아무튼 다 남겼는데 돈 내기 싫었어요. [생성된 문장],1
정말 시끄러워서... 이런 소음 때문에 돈 낭비야.,0
진짜 이 식당은 너무 시끄러워요. 직원들끼리만 얘기하는 것 같아서 손님으로서는 불편했어요. 그리고 냉면에 참기름을 너무 많이 넣은 것 같아요. 국물에 기름이 많이 떠다니고 느끼해서 입맛이 맞지 않았어요. 그리고 김밥을 덮어서 주지 않고 그대로 준 것도 실망스러웠어요. 직원들은 서로 얘기하면서 손님의 주문을 제대로 듣지 못하고 계속 물어보는 모습이 불편했어요. 아마도 이 식당에서는 제대로 된 서비스를 받기 어려울 것 같아요. 돈을 내기 싫어서 다 남겼어요.,0
"진짜 일하는 분들이 너무 시끄러웠어요. 개인적인 이야기를 할 때도 목소리가 크고, 밥을 먹을 때 코로 들어가는지 입으로 들어가는지 구별을 못하는 것 같았어요. 그리고 냉면에 참기름을 너무 많이 넣은 것 같아서 국물에 기름이 둥둥 떠다니고 느끼한 느낌이 들었어요. 김밥을 덮어서 주지 않고 그대로 가져다 주셨고, 직원들끼리 이야기를 하면서 손님의 주문을 못들었는데 또 물어봤어요. 결국 모든 음식을 남기고 나왔는데 돈을 지불하고 싶지 않았어요. 서비스가 너무 실망스러웠어요.",0
"우와 정말 멋진 스터디 카페입니다. 다른 지점은 가보지 않았지만, 노트북을 많이 사용하는 나로서는 노트북 좌석이 분리되어 있고 밑에는 에그셀런트와의 제휴도 되어있어서 정말 좋았어요. 시설도 깔끔하고 상태가 좋아요. 공사 때문에 시끄러웠을 것 같은데 이미 끝나서 조용합니다. 직원분들도 매우 열심히 일하시고 친절하셔서 좋았어요. 이곳은 정말 멋진 스터디 카페입니다. 다른 지점을 가본 적은 없지만, 노트북을 자주 사용하는 사람으로서 노트북 좌석이 분리되어 있고 아래에는 에그셀런트와의 제휴도 있어서 정말 좋았어요. 시설도 깔끔하고 상태가 좋아요. 공사 때문에 시끄러울 것 같았는데 이미 끝났기 때문에 조용합니다. 직원들도 열심히 일하시고 친절하셔서 좋았어요.",0
"와우, 정말 멋져요! 이 레스토랑은 정말 최고예요. 다른 음식점은 가보지 않았지만, 음식의 맛도 훌륭하고 서비스도 탁월해요. 분위기도 아늑하고 좋아요. 예약을 해야하는데, 예약 시스템도 편리하고 빠르게 처리되어요. 직원분들도 사장님이 아니시더라도 열심히 일하시고 엄청 친절하세요.",0
