id,sentence1,sentence2,sentence3,sentence4,label
TRAIN_000,"직원들 마음에 들지 않는다는 것은 알겠지만, 가지 말아야 할까? 인터넷에서 싸게 살 수 있는 것도 알면서 나만의 질문을 하려고 하니까요. 그런데 직원들은 걸어서 대화하거나, 아무 대답이 없는 경우가 많아요. 그래서 결국 인터넷에서 직접 찾아보고 구매하려고 생각했어요. 가지 마세요. 감정적으로 상하고 시간만 낭비하게 될 거에요.",직원들 진짜 싸가지 없어요 ㅋㅋㅋㅋ 가지 마숑  인터넷이 더 싼거 알면서도 이것저것 좀 물어보려는데  돈 되는거 사는거 물어보는 질문아니면.   직원이 아예 걸어가면서 말하거나... (고객은 뒤에 따라가면서 들음)  or  모르쇠로 일관 (무성의 말투로 ..)   그냥 인터넷에서 물어보고 인터넷으로 구매해야겠습니당.  가지마세요. 감정상하고 시간 아까움,"직원들 정말 싸가지 없네요 ㅋㅋㅋㅋ 인터넷에서 더 싸게 구입할 수 있다는 걸 알면서도 여러 가지를 물어보려고 했는데, 돈을 벌 수 있는 질문이 아니면 직원은 걸어가며 말하던지, 모르는 척하더라고요. (고객은 뒤를 따라가며 듣고 있음) 그냥 인터넷에서 문의하고 구매하면 되겠네요. 가지 마세요. 감정이 상하고 시간만 아까워요.","직원들의 태도가 정말 별로였어요 ㅋㅋㅋㅋ 가볼만한 가게라는 소문을 듣고 인터넷으로 더 싼 가격을 알고 있었는데, 여러 가지 질문을 하려고 했는데도 돈을 벌어야하는 질문이 아니면 직원들은 관심을 가지지 않았어요. 직원이 걸어가면서 말하거나... (고객은 직원 뒤를 따라가며 듣음) 또는 전혀 알지 못하는척 일관했어요 (무성의한 어조로...) 그냥 인터넷에서 질문하고 인터넷으로 구매해야겠어요. 가지마세요. 감정적으로 피해를 입히고 시간을 낭비할 뿐입니다.",2
TRAIN_001,"분위기 최고! 2층 창문이 넓어서 공기가 통하는 느낌이에요. 조명도 멋지고 음료와 디저트 종류도 다양해서 선택이 어려웠어요. 라떼, 아인슈페너, 타르트를 시켜서 함께 먹었는데 딸기타르트는 상큼하고 맛있었어요.","분위기가 너무 좋아요! 2층 창문이 넓어서 쾌적한 느낌이에요. 조명도 아름답고 음료와 디저트 종류가 다양해서 친구와 선택하기가 힘들었어요 ㅋㅋㅋ 라떼, 아인슈페너, 그리고 타르트를 시켜서 함께 먹었는데 딸기타르트는 상큼하고 정말 맛있었어요.","분위기가 짱!! 2층 창문이 커서 탁 트여있는 느낌이에요 ㅎㅎ 조명도 예쁘고 음료랑 디저트 종류도 많아서 친구랑 고르는데 힘들었네요 ㅜㅋㅋㅋ 라떼, 아인슈페너 그리구 타르트 시켜서 나눠 먹었는데 딸기타르트 상큼하고 너무 맛있었어요","분위기가 너무 좋아요! 2층 창문이 크고 넓어서 탁 트여있는 느낌이에요. 조명도 예뻐서 음료와 디저트를 고르는 것이 힘들었어요. 라떼, 아인슈페너, 타르트를 시켜서 나눠 먹었는데 딸기타르트는 상큼하고 맛있었어요.",3
TRAIN_002,"일단, 장사가 잘 되길 바라는 마음에서 별 다섯 개 드립니다. 간도 딱 맞았고, 저는 매운 음식을 좋아하니까 싱겁지도 않았어요. 다만, 당면사리와 라면사리가 함께 들어가는데, 면사리 양이 좀 많아서 국물이 금방 쫄고, 면도 금방 부글부글 끓어나오더라구요. 그래서 면을 한 가지만 사용하시는 건 어떨까요? 당면 면은 필요한 고객들에 한해서 주문을 받는 게 더 좋을 것 같아요. 번창하세요!",일단 장사가 잘되길 바라는 마음에서 별5개 드립니다 간도 맞았고 매운걸 좋아하는 입장에서 싱겁지도 짜지도 않아서 딱 좋았어요 다만 당면사리와 라면사리가 같이 들어가는데 면사리 양 자체가 좀 많아서 국물이금방 쫄고 면도 금방 불더라구요 그래서 면을 한가지만 사용하시는건 어떨까 싶네요 당면 면은 필요한 고객들에 한해서 주문을 넣도록 하는게 더 좋을거같아요 번창하세요!-,"일단 저는 장사가 잘되기를 바라는 마음에서 별 다섯 개를 주고 싶어요. 맛도 딱 맞았고, 저는 매운 음식을 좋아해서 맵기도 정확했습니다. 다만, 당면사리와 라면사리가 함께 들어가는데 면사리의 양이 많아서 국물이 빨리 쫄아들어가고 면도 금방 끓습니다. 그래서 면을 한 가지만 사용하시는 건 어떨까요? 당면 면은 필요한 고객들에 한해서 주문을 받는 게 더 좋을 것 같아요. 번창하세요!","먼저, 칭찬과 응원의 의미로 별 다섯 개를 주고 싶습니다. 간도 딱 맞고, 저는 매운 음식을 좋아해서 싱겁지도 않고 짜지도 않아서 좋았어요. 그런데, 당면사리와 라면사리가 함께 들어가는데 면사리의 양이 조금 많아서 국물이 빨리 쫄았고 면도 빨리 불렀어요. 그래서 면을 한 가지만 사용하시는 건 어떨까 싶네요. 당면 면은 필요한 고객들에 한해서 주문을 받는 게 더 좋을 것 같아요. 번창하시길 바랄게요!",2
TRAIN_003,"1편의 독특함 때문에 살짝 뒤로 밀린 느낌이 있지만, 여전히 재미있어요. 게임 시스템이 많이 발전해 플레이하기 편리해졌습니다. 리틀시스터의 변화도 매력적이고, 설정이 확장되어 탐험하는 재미도 상당히 좋습니다.","1편의 신선함에 비해 약간 빛이 바래 보이지만, 여전히 재미있게 즐길 수 있어요. 게임 시스템이 더욱 향상되어 플레이하기 편리해진 것도 매력 포인트입니다. 또, 원래는 무서운 모습이었던 리틀 시스터가 2편에서는 귀여워진 것이 눈에 띄네요. 설정적인 부분이 확장되어 게임을 하면서 관광하는 기분도 들어서 즐거웠습니다.","1편의 독특함 때문에 약간의 비교가 불가피하지만, 이 게임은 여전히 흥미로워요. 시스템이 크게 개선되어 게임 플레이가 훨씬 더 편리해지기도 했습니다. 특히 1편의 리틀 시스터가 2편에서 매력적으로 변화한 모습은 눈길을 끌었습니다. 또한, 설정의 확장으로 인해 볼거리도 매우 만족스럽습니다.",1편이 워낙 참신했던 탓에 좀 묻힌 감이 있긴 하지만 재미는 여전합니다. 시스템도 훨씬 발전해서 게임 하기도 편리해졌고요. 1편의 두꺼비같은 리틀시스터가 2편와서 이뻐진건 좀 보기 좋네요. 1편에서 설정이 더 늘어나서 관광하는 재미도 꽤 좋습니다.,4
TRAIN_004,"빵점 주고 싶은걸 간신히 참았다...이런건 사상 유래가 없는,조지 루카스 영감의 스페이스 오페라-별들의전쟁에 비하면,애들 장난만도 못한거다.그나마 피터 정 감독의 다크 퓨리때문에 꾹 참고,평점2점정도 ,적선한 셈치고,선사한 거지...속편은,신경좀 써라",빵점을 주고 싶지만 참아냈습니다... 이 영화는 사상 유래가 없는 것 같아요. 조지 루카스의 스타 워즈 시리즈에 비하면 애들 장난 아닌 거라고 생각합니다. 다행히도 피터 정 감독의 다크 퓨리가 있어서 꾹 참고 2점 정도로 평가했습니다. 그래도 어느 정도 매력을 가진 영화라고 생각합니다. 속편에서는 좀 더 신경을 쓰실 필요가 있습니다.,"빵점 주고 싶을 정도로 엄청 실망했어요... 이 영화는 별들의 전쟁처럼 역사적인 작품인 줄 알았는데, 아이들 장난감보다 못한 수준이었어요. 피터 정 감독의 다크 퓨리 때문에 조금 참았는데, 평점 2점밖에 안주고 싶어요. 이걸로 고작 개연성만 챙긴 거라고요... 속편을 만들 때는 좀 신경을 써주셨으면 좋겠어요.","빵점을 주고 싶었는데 참았어요... 이런 영화는 전례가 없는데, 조지 루카스의 스타워즈와 비교하면 어린이 장난이라고 할 수 있어요. 그래도 피터 정 감독의 다크 퓨리로 인해 겨우 참아내서 2점 정도 평가하고, 그나마 신경 쓴 작품이었다고 해야 하네요. 속편은 좀 더 신경을 써야 할 것 같아요.",1
TRAIN_005,"치킨 반마리 주문 가능. 골뱅이소면과 함께 추천. 치킨은 평범, 사이드메뉴와 함께하면 맛이 살아남. 치킨 작고 살은 적음.",둘이서 치킨 반마리 주문이 가능해서 골뱅이소면무침랑 같이 시킬 수 있었네요! 치킨맛은 매우 평범하지만 골뱅이 소면이랑 같이 먹으니깐 맛이 살아나는 거 같습니다. 치킨만 주문 시키는 것보다 사이드메뉴를 같이 시키는게 좋을 거 같습니다! 치킨크기가 작으며 살이 많이 있진 않습니다.,"두 사람이서 반마리의 치킨을 주문할 수 있어서, 골뱅이소면무침을 함께 주문했습니다. 치킨 자체는 특별하진 않지만, 소면과 함께 먹으니 맛이 새롭게 느껴졌어요. 치킨만 보다는 사이드 메뉴를 함께 주문하는 게 더 나을 거 같아요. 단지 치킨 크기는 작고 별로 살이 없다는 단점이 있습니다.","두 사람이서 치킨 반마리 주문이 가능해서 골뱅이소면무침과 함께 먹을 수 있었습니다. 치킨의 맛은 평균적이었지만, 골뱅이 소면과 함께 먹으니 맛이 돋보였습니다. 치킨만 주문하는 것보다는 사이드 메뉴를 같이 주문하는 것을 추천드립니다. 그리고 치킨 크기와 살의 양이 조금 아쉬웠습니다.",2
TRAIN_006,진짜 일하시는 사람들 너무 시끄러워요  자기들 개인사얘기하는데 목소리도 크고 밥이 코로 들어가는지 입으로 들어가는지  모르고 나옴 그리고 냉면에 참기름을 얼마나 넣었음 냉면 국물에 기름 엄청 둥둥뜨고 느끼했음.... 그리고 김밥 덮어두지도 않고 싸논거 그대로 줘요...본인들끼리 떠들면서 손님 주문하는것도 못듣고 또 물어보고...아무튼 다 남겼는데 돈내기 싫었어요,진짜 시끄러운데... 이런거 시끄러워서 돈 아까워.,진짜 이 직장은 너무 시끄럽네요. 직원들끼리만 얘기하는게 아니라 목소리도 크고 밥먹는 소리도 코로 들어가는 것 같아요. 그리고 냉면에 참기름을 얼마나 넣었는지 모르겠어요. 냉면 국물에 기름이 엄청 떠다니고 너무 느끼했어요. 그리고 김밥을 덮어서 줄 생각도 없이 그대로 주더라구요. 직원들은 서로 얘기하면서 손님의 주문을 듣지도 못하고 계속 물어보고... 어쩌면 나 먹기 싫어서 죽인 것 같아요. 돈 내기 싫어서 다 남겼어요.,"진짜 일하는 분들이 너무 시끄러웠어요. 개인적인 이야기를 할 때도 목소리가 크고, 밥을 먹을 때 코로 들어가는지 입으로 들어가는지 구별을 못하는 것 같았어요. 그리고 냉면에 참기름을 너무 많이 넣은 것 같아서 국물에 기름이 둥둥 떠다니고 느끼한 느낌이 들었어요. 김밥을 덮어서 주지 않고 그대로 가져다 주셨고, 직원들끼리 이야기를 하면서 손님의 주문을 못들었는데 또 물어봤어요. 결국 모든 음식을 남기고 나왔는데 돈을 지불하고 싶지 않았어요.",1
TRAIN_007,"우와 정말 멋진 스터디 카페입니다. 다른 지점은 가보지 않았지만, 노트북을 많이 사용하는 저로써는 노트북 좌석이 분리되어 있고 밑에는 에그셀런트와의 제휴도 되어있어서 정말 좋았어요. 시설도 깔끔하고 상태가 좋아요. 공사 때문에 시끄러웠을 것 같은데 이미 끝나서 조용합니다. 직원분들도 매우 열심히 일하시고 친절하셔서 좋았어요.","와우, 정말 좋아요! 이 스터디 카페는 정말 최고예요. 다른 지점은 가보지 않았지만, 노트북을 많이 사용하는데 노트북 좌석도 분리되어 있고, 밑에 있는 에그셀런트와의 협력도 있어요. 시설도 깔끔하고 좋아요. 공사 때문에 시끄러웠을 것 같은데, 원래 공사도 끝나서 조용해요. 직원분도 사장님이 아니시더라도 열심히 일하시고 엄청 친절하세요.","와우, 정말 좋은 공부 카페예요. 다른 지점은 가본 적은 없지만, 노트북을 많이 사용하시는 분들께 좋은 공간일 것 같아요. 노트북 좌석이 분리되어 있고, 밑에는 에그셀런트와 제휴가 되어있어서 편리했습니다. 시설도 깔끔하고 좋아요. 밑에 공사 때문에 소음이 있을 것 같았는데, 이미 공사는 끝났고 조용하게 사용할 수 있어요. 직원분이신지 사장님이신지는 잘 모르겠지만, 열심히 일하시고 정말 친절하셨습니다. bb",우와 완전좋아요 스터디카페 신세계 ... 다른지점은 안가봤지만 노트북많이쓰는데 노트북 좌석도 분리되어있고 밑에 에그셀런트랑 제휴도되어있고 시설 깔끔하고 좋아요 밑에 공사때문에 시끄러웠을거같은데 원래 공사도 끝나서 조용합니다! 직원분? 사장님은 아니신거같은데 열심히하시고 엄청 친절하세요...bb,4
TRAIN_008,"가시려는 분들은 이전 리뷰를 잘 읽어보고 가는 것을 추천합니다. 급하게 여기에서 상견례를 했는데 음식이 짜고 맛이 없어요. 어디 가서 4만원을 주고 이런 걸 먹는 건 처음이에요. 간을 보고 만드는 거 맞으신가요? 이런 음식을 돈을 받고 내놓다니 어떻게 해도 이해가 되질 않아요. 자리 때문에 말도 못 하고 나와서 더 분하고 당황스럽네요. 그리고 서빙하시는 분이 체격이 커서 의자와 벽 사이로 다니지도 못 하시고 서빙도 서툴러요. 아 진짜, 음식을 돈을 주고 사서 너무 화가 납니다.",가시고자 하시는 분들은 앞서 쓴 후기 잘 읽어보고 가세요. 급해서 여기서 상견례했는 데 음식 짜고 맛없어요. 어딜 가서도 4만원주고 이딴 거 먹기는 처음이에요. 간 보고 만드는 거 맞으세요? 어떻게 이 돈 받고 이런 음식 내와요?자리때문에 한 마디도 못 하고 나와서 더 분하고 어이가 없네요. 그리고 서빙하시는 분 덩치가 있으셔서 의자랑 벽 사이로 다니지도 못 하시고 서빙도 굼떠요. 아 진짜. 음식쓰레기 돈주고 사 먹어서 너무 화나요.,"이 식당을 방문하실 분들께는 앞선 리뷰들을 잘 읽어보시고 결정하시는 것을 추천드립니다. 저는 급하게 이곳에서 만남을 가졌는데, 음식이 짜고 맛이 없었습니다. 다른 곳에서 4만원을 내고 이런 음식을 먹은 건 처음이에요. 그냥 눈으로도 간이 많이 들어간 것 같은데, 이런 음식을 받고 돈 받는지 모르겠어요. 자리 때문에 아무 말도 못하고 나와서 더 분하고 어이가 없습니다. 게다가 서빙하는 분이 몸집이 있어서 의자와 벽 사이를 다니지도 못하고 서빙도 서툴러요. 진짜로 음식쓰레기 같아서 돈을 주고 사먹은 게 너무 화나네요.",요즘은 리뷰를 믿기 힘들죠. 하지만 제 경험을 공유하고자 해요. 급하게 가서 상견례를 했는데 음식이 너무 짜고 맛이 없었어요. 다른 가게에서 4만원이면 훨씬 맛있는 음식을 먹을 수 있는데 정말 처음으로 이런 경험을 했어요. 그리고 간을 맛보고 만드는 건지 모르겠어요. 이런 음식에 돈을 받은 것에 화가 나네요. 또한 서빙하시는 분이 너무 크신지 의자와 벽 사이로 움직이지 못하고 서빙도 느리셨어요. 진짜 화가 나네요. 음식을 쓰레기처럼 다시는 사먹을 일 없도록 조심하세요.,2
TRAIN_009,라운즈 앱에서 안경 구매 후 도수렌즈 구매했어요. 제가 눈이 나쁘고 렌즈 결정하기가 까다로웠는데 직원분들 너무 친절하시고 시력검사도 꼼꼼하게 해주시고 질문에 대답도 너무 잘해주셔서 감사했어요. 무엇보다 편하게 쓸수있게 제 얼굴에 잘 맞게 피팅해주셔서 좋네요. ㅎㅎ,"라운즈 앱을 통해 안경과 도수 렌즈를 구입했습니다. 저의 시력이 좋지 않아서 렌즈 선택에 애를 먹었는데, 직원분들이 매우 친절하게 도와주셨습니다. 시력 검사도 꼼꼼하게 해주시고, 어떤 질문에도 잘 대답해주셔서 정말 감사했습니다. 특히 제 얼굴에 잘 맞는 안경을 찾아 피팅해주셔서 편하게 사용할 수 있었습니다.","라운즈 앱을 통해 안경과 도수렌즈를 구매하였습니다. 제 시력이 좋지 않아 렌즈 결정 과정이 어렵긴 했지만, 직원분들의 친절한 설명과 꼼꼼한 시력 검사 덕분에 무리 없이 결정할 수 있었습니다. 또한 직원분들이 제 얼굴에 딱 맞게 안경을 피팅해주셔서 착용감이 아주 좋았습니다.",라운즈 앱으로 안경 구매 및 도수렌즈 선택. 눈 상태 때문에 까다롭지만 직원 친절함 그리고 시력검사 철저. 질문 응답도 좋고 피팅도 완벽. 편안함.,1
